1;FGM;± grammaticalized morphology;;FGM;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;FGM;1;;;;;;;;;;;;;;;;;;;;
2;FGA;± grammaticalized agreement;+FGM;FGA;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;FGA;2;;;;;;;;;;;;;;;;;;;;
3;FGK;± grammaticalized Case;+FGM;FGK;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;FGK;3;;;;;;;;;;;;;;;;;;;;
4;SPK;± grammaticalized (ultra-)spatial Cases;+FGK;SPK;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;+;-;+;+;+;+;-;+;+;+;-;-;-;-;-;-;-;-;0;-;-;-;SPK;4;;;;;;;;;;;;;;;;;;;;
5;FGP;± grammaticalized person                         ;+FGM;FGP;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;FGP;5;;;;;;;;;;;;;;;;;;;;
6;FSP;± semantic person                         ;¬+FGP;FSP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FSP;6;;;;;;;;;;;;;;;;;;;;
7;FGN;± grammaticalized number;+FGP;FGN;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;FGN;7;;;;;;;;;;;;;;;;;;;;
8;SCO;± spread collective number;+FGM, ¬+FGN;SCO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SCO;8;;;;;;;;;;;;;;;;;;;;
9;GDP;± grammaticalized distributive plurality;+FGM, ¬+FGN;GDP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;GDP;9;;;;;;;;;;;;;;;;;;;;
10;FSN;± number spread to N;+FGN;FSN;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;+;+;FSN;10;;;;;;;;;;;;;;;;;;;;
11;FNN;± number on N;+FSN;FNN;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;0;+;+;FNN;11;;;;;;;;;;;;;;;;;;;;
12;FGT;± grammaticalized temporality;;FGT;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;FGT;12;;;;;;;;;;;;;;;;;;;;
13;FGG;± grammaticalized gender;+FGN;FGG;+;+;+;+;+;+;+;+;+;+;+;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;0;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;+;FGG;13;;;;;;;;;;;;;;;;;;;;
14;FSG;± semantic gender ;+FGN ;FSG;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;0;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;+;FSG;14;;;;;;;;;;;;;;;;;;;;
15;CGB;± unbounded sg N;;CGB;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+;+;+;+;-;-;-;-;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;CGB;15;;;;;;;;;;;;;;;;;;;;
16;FPC;± grammaticalized perception;;FPC;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;FPC;16;;;;;;;;;;;;;;;;;;;;
17;DGR;± grammaticalized Specified Quantity; -FPC, +FGN;DGR;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;+;+;-;-;-;-;-;0;0;0;0;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;DGR;17;;;;;;;;;;;;;;;;;;;;
18;DGP;± grammaticalized text anaphora   ;¬+DGR   ;DGP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;+;+;+;DGP;18;;;;;;;;;;;;;;;;;;;;
